,ID,setting_name,openml_id,learner_name,sampling_strategy_name,test_split_seed,train_split_seed,seed,iteration,test_accuracy,test_f1,test_precision,test_recall,test_auc,test_log_loss
166,2792,small,18,rf_entropy,random,0,0,0,19,0.61515152,0.60881429,0.61825499,0.61515152,0.93229645,1.57418323
167,2793,small,18,rf_entropy,random,0,0,0,20,0.61212121,0.60498386,0.61845199,0.61212121,0.93672457,1.35326138
168,5125,small,22,rf_entropy,random,0,0,0,0,0.50909091,0.51696727,0.54883072,0.50909091,0.84650673,1.92914806
169,5126,small,22,rf_entropy,random,0,0,0,1,0.52878788,0.54020934,0.57303815,0.52878788,0.85995052,1.75750843
170,5127,small,22,rf_entropy,random,0,0,0,2,0.49848485,0.50456317,0.53175624,0.49848485,0.83978038,2.01198462
171,5128,small,22,rf_entropy,random,0,0,0,3,0.47727273,0.48410123,0.52110332,0.47727273,0.84741608,1.59523415
172,5129,small,22,rf_entropy,random,0,0,0,4,0.5030303,0.51506618,0.5808477,0.5030303,0.88129528,1.53334286
173,5130,small,22,rf_entropy,random,0,0,0,5,0.50606061,0.51846027,0.56770406,0.50606061,0.87147612,1.58138893
174,5131,small,22,rf_entropy,random,0,0,0,6,0.47878788,0.48977289,0.53650304,0.47878788,0.8645202,1.56943396
175,5132,small,22,rf_entropy,random,0,0,0,7,0.52272727,0.53626967,0.58492452,0.52272727,0.88238828,1.5597249
176,5133,small,22,rf_entropy,random,0,0,0,8,0.51818182,0.52116593,0.55629466,0.51818182,0.86806066,1.72523327
177,5134,small,22,rf_entropy,random,0,0,0,9,0.54848485,0.54921726,0.60240371,0.54848485,0.8834022,1.47358368
178,5135,small,22,rf_entropy,random,0,0,0,10,0.57878788,0.57809164,0.61180841,0.57878788,0.88596317,1.50938686
179,5136,small,22,rf_entropy,random,0,0,0,11,0.57878788,0.58058837,0.61587344,0.57878788,0.88149679,1.63936899
180,5137,small,22,rf_entropy,random,0,0,0,12,0.60909091,0.61265369,0.65667298,0.60909091,0.89660239,1.42077787
181,5138,small,22,rf_entropy,random,0,0,0,13,0.60151515,0.607403,0.64629661,0.60151515,0.89945541,1.41660701
182,5139,small,22,rf_entropy,random,0,0,0,14,0.60909091,0.61798806,0.64600444,0.60909091,0.89524028,1.56033336
183,5140,small,22,rf_entropy,random,0,0,0,15,0.58636364,0.59668163,0.63673334,0.58636364,0.9033568,1.40114344
184,5141,small,22,rf_entropy,random,0,0,0,16,0.61515152,0.62015591,0.66168781,0.61515152,0.90522396,1.53093094
185,5142,small,22,rf_entropy,random,0,0,0,17,0.60454545,0.61264687,0.64961993,0.60454545,0.90202403,1.39338401
186,5143,small,22,rf_entropy,random,0,0,0,18,0.59242424,0.59907684,0.63290215,0.59242424,0.89759973,1.44804805
187,5144,small,22,rf_entropy,random,0,0,0,19,0.60606061,0.61271359,0.64560489,0.60606061,0.90254821,1.38064023
188,5145,small,22,rf_entropy,random,0,0,0,20,0.62424242,0.63158086,0.6687718,0.62424242,0.90479543,1.37764048
189,3340,small,23,rf_entropy,random,0,0,0,0,0.42915811,0.41263034,0.40855997,0.42915811,0.60813892,1.09990252
190,3341,small,23,rf_entropy,random,0,0,0,1,0.44353183,0.41955325,0.41935768,0.44353183,0.59765733,1.09668283
191,3342,small,23,rf_entropy,random,0,0,0,2,0.4312115,0.40842966,0.40659885,0.4312115,0.6082462,1.07780701
192,3343,small,23,rf_entropy,random,0,0,0,3,0.45790554,0.4411128,0.44233319,0.45790554,0.60118795,1.10719556
193,3344,small,23,rf_entropy,random,0,0,0,4,0.44969199,0.44235604,0.43898105,0.44969199,0.61569945,1.09542514
194,3345,small,23,rf_entropy,random,0,0,0,5,0.46817248,0.46327363,0.46099084,0.46817248,0.63001613,1.06463417
195,3346,small,23,rf_entropy,random,0,0,0,6,0.46406571,0.46205567,0.4619665,0.46406571,0.63633606,1.12270651
196,3347,small,23,rf_entropy,random,0,0,0,7,0.48049281,0.47673509,0.47797076,0.48049281,0.63297631,1.12854708
197,3348,small,23,rf_entropy,random,0,0,0,8,0.4825462,0.4741212,0.4758893,0.4825462,0.63802622,1.12121995
198,3349,small,23,rf_entropy,random,0,0,0,9,0.46817248,0.46052508,0.45755241,0.46817248,0.62081081,1.08755604
199,3350,small,23,rf_entropy,random,0,0,0,10,0.4825462,0.47665917,0.47380958,0.4825462,0.64466088,1.11046064
200,3351,small,23,rf_entropy,random,0,0,0,11,0.49691992,0.49185366,0.48946025,0.49691992,0.6575902,1.16951504
201,3352,small,23,rf_entropy,random,0,0,0,12,0.48049281,0.4771531,0.47741994,0.48049281,0.63523204,1.1424275
202,3353,small,23,rf_entropy,random,0,0,0,13,0.48870637,0.47813227,0.4754895,0.48870637,0.65184071,1.04985709
203,3354,small,23,rf_entropy,random,0,0,0,14,0.47638604,0.4734017,0.47252044,0.47638604,0.63316219,1.12888298
204,3355,small,23,rf_entropy,random,0,0,0,15,0.49075975,0.48899348,0.49165751,0.49075975,0.64620288,1.12671235
205,3356,small,23,rf_entropy,random,0,0,0,16,0.47022587,0.4712032,0.47459814,0.47022587,0.64324133,1.13054389
206,3357,small,23,rf_entropy,random,0,0,0,17,0.45995893,0.45921847,0.45855089,0.45995893,0.6392495,1.0816723
207,3358,small,23,rf_entropy,random,0,0,0,18,0.46406571,0.46709874,0.47401071,0.46406571,0.63829356,1.14040769
208,3359,small,23,rf_entropy,random,0,0,0,19,0.47022587,0.47210345,0.47631858,0.47022587,0.63918872,1.2110921
209,3360,small,23,rf_entropy,random,0,0,0,20,0.45790554,0.46109819,0.47482716,0.45790554,0.64025743,1.14909953
210,2668,small,28,rf_entropy,random,0,0,0,0,0.74339623,0.73741016,0.74036787,0.74339623,0.94046669,1.27091652
211,2669,small,28,rf_entropy,random,0,0,0,1,0.74609164,0.73930505,0.74491127,0.74609164,0.94284818,1.29353752
212,2670,small,28,rf_entropy,random,0,0,0,2,0.7509434,0.74282396,0.75484241,0.7509434,0.9479999,1.31673189
213,2671,small,28,rf_entropy,random,0,0,0,3,0.76981132,0.76443616,0.76368932,0.76981132,0.95441259,1.19394834
214,2672,small,28,rf_entropy,random,0,0,0,4,0.72075472,0.71273671,0.7306681,0.72075472,0.95177767,1.22482115
215,2673,small,28,rf_entropy,random,0,0,0,5,0.76334232,0.75569073,0.76738384,0.76334232,0.95094623,1.23359948
